year,reporter,partner,commodity_code,section_code,trade_value_usd_exp,trade_value_usd_imp
2020,Argentina,Mexico,220300,04,0,5427314
2017,Argentina,Mexico,220410,04,483718,0
2018,Argentina,Mexico,220410,04,522963,0
2019,Argentina,Mexico,220410,04,520504,0
2020,Argentina,Mexico,220410,04,424713,0
2017,Argentina,Mexico,220421,04,19547788,0
2018,Argentina,Mexico,220421,04,20382444,0
2019,Argentina,Mexico,220421,04,19354964,0
2020,Argentina,Mexico,220421,04,17302082,0
2017,Argentina,Mexico,220429,04,55707,0
2019,Argentina,Mexico,220429,04,1949100,0
2020,Argentina,Mexico,220429,04,2353856,0
2017,Argentina,Mexico,220710,04,610164,0
2019,Argentina,Mexico,220710,04,0,2300
2020,Argentina,Mexico,220710,04,0,4283
2017,Argentina,Mexico,220820,04,64682,0
2017,Argentina,Mexico,220840,04,0,1225416
2018,Argentina,Mexico,220840,04,0,1288368
2019,Argentina,Mexico,220840,04,0,926477
2020,Argentina,Mexico,220840,04,0,613497
2017,Argentina,Mexico,220870,04,0,62313
2018,Argentina,Mexico,220870,04,0,3396
2017,Argentina,Mexico,220890,04,0,769287
2018,Argentina,Mexico,220890,04,0,724683
2019,Argentina,Mexico,220890,04,0,178165
2020,Argentina,Mexico,220890,04,0,579869
2017,Argentina,Mexico,220900,04,900,0
2017,Argentina,Mexico,230400,04,2148900,0
2017,Argentina,Mexico,230800,04,2904165,0
2020,Argentina,Mexico,230800,04,3388005,0
2017,Argentina,Mexico,230990,04,511534,91770
2018,Argentina,Mexico,230990,04,434160,94536
2019,Argentina,Mexico,230990,04,1137563,0
2020,Argentina,Mexico,230990,04,1013565,0
2017,Argentina,Mexico,240120,04,2017432,0
2020,Argentina,Mexico,240120,04,1589256,0
2017,Argentina,Mexico,240210,04,0,26111
2018,Argentina,Mexico,240210,04,0,40261
2019,Argentina,Mexico,240210,04,0,59498
2020,Argentina,Mexico,240210,04,0,65061
2019,Argentina,Mexico,240319,04,0,13
2017,Argentina,Mexico,240399,04,0,15860
2018,Argentina,Mexico,240399,04,0,50930
2019,Argentina,Mexico,240399,04,0,123514
2017,Argentina,Mexico,250100,05,0,18
2017,Argentina,Mexico,250410,05,500,516
2017,Argentina,Mexico,250810,05,0,45402
2018,Argentina,Mexico,250810,05,0,66721
2019,Argentina,Mexico,250810,05,0,8277
2020,Argentina,Mexico,250810,05,0,60899
2017,Argentina,Mexico,250900,05,0,3374
2017,Argentina,Mexico,251110,05,0,308100
2017,Argentina,Mexico,251200,05,8583,1791354
2018,Argentina,Mexico,251200,05,0,1752828
2019,Argentina,Mexico,251200,05,0,1309586
2020,Argentina,Mexico,251200,05,0,1023237
2019,Argentina,Mexico,251910,05,0,187
2017,Argentina,Mexico,251990,05,0,2493
2020,Argentina,Mexico,252010,05,0,8655
2019,Argentina,Mexico,252020,05,0,3892
2020,Argentina,Mexico,252020,05,0,1305
2017,Argentina,Mexico,252330,05,0,54551
2019,Argentina,Mexico,252330,05,0,26555
2020,Argentina,Mexico,252330,05,0,27170
2019,Argentina,Mexico,252390,05,0,52758
2020,Argentina,Mexico,252390,05,0,13393
2020,Argentina,Mexico,252620,05,0,2910
2017,Argentina,Mexico,252800,05,115240,0
2019,Argentina,Mexico,252921,05,0,357
2020,Argentina,Mexico,252921,05,0,1064
2017,Argentina,Mexico,252922,05,0,29557
2018,Argentina,Mexico,252922,05,0,6243
2017,Argentina,Mexico,253090,05,0,54031
2018,Argentina,Mexico,253090,05,0,24819
2019,Argentina,Mexico,253090,05,0,21481
2020,Argentina,Mexico,253090,05,0,33842
2020,Argentina,Mexico,261400,05,0,37410
2019,Argentina,Mexico,270112,05,0,2411
2017,Argentina,Mexico,270400,05,73864,0
2020,Argentina,Mexico,270810,05,0,44609
2017,Argentina,Mexico,271019,05,7071,23583
2018,Argentina,Mexico,271019,05,0,14439
2019,Argentina,Mexico,271019,05,0,61171
2020,Argentina,Mexico,271019,05,0,55060
2018,Argentina,Mexico,271129,05,0,3170
2020,Argentina,Mexico,271312,05,0,36787
2017,Argentina,Mexico,280300,06,0,8871
2018,Argentina,Mexico,280300,06,0,3071
2019,Argentina,Mexico,280300,06,0,21333
2020,Argentina,Mexico,280300,06,0,9434
2019,Argentina,Mexico,280430,06,0,4860
2018,Argentina,Mexico,280440,06,0,14083
2019,Argentina,Mexico,280440,06,0,6207
2020,Argentina,Mexico,280440,06,0,23212
2017,Argentina,Mexico,280490,06,0,2558
2018,Argentina,Mexico,280490,06,0,5479
2019,Argentina,Mexico,280490,06,0,3267
2020,Argentina,Mexico,280490,06,0,1544
2018,Argentina,Mexico,280512,06,0,29195
2019,Argentina,Mexico,280512,06,0,105154
2017,Argentina,Mexico,280540,06,0,474937
2019,Argentina,Mexico,280540,06,0,989716
2017,Argentina,Mexico,280610,06,0,2221
2018,Argentina,Mexico,280610,06,0,16433
2019,Argentina,Mexico,280610,06,0,1515
2020,Argentina,Mexico,280610,06,0,14766
2017,Argentina,Mexico,280700,06,0,484
2019,Argentina,Mexico,280700,06,0,721
2020,Argentina,Mexico,280700,06,0,844835
2018,Argentina,Mexico,280800,06,0,1167
2019,Argentina,Mexico,280800,06,0,205
2020,Argentina,Mexico,280800,06,0,453
2017,Argentina,Mexico,280920,06,0,47171
2018,Argentina,Mexico,280920,06,0,1134523
2019,Argentina,Mexico,280920,06,0,1178701
2020,Argentina,Mexico,280920,06,0,1922308
2018,Argentina,Mexico,281119,06,0,4536
2020,Argentina,Mexico,281119,06,0,3128
2019,Argentina,Mexico,281121,06,0,1270
2017,Argentina,Mexico,281122,06,343,0
2019,Argentina,Mexico,281122,06,0,9135
2017,Argentina,Mexico,281129,06,0,22832
2017,Argentina,Mexico,281511,06,0,2052
2018,Argentina,Mexico,281511,06,0,4531
2018,Argentina,Mexico,281512,06,0,2712
2019,Argentina,Mexico,281512,06,0,32
2017,Argentina,Mexico,281610,06,0,27467
2018,Argentina,Mexico,281610,06,0,24813
2019,Argentina,Mexico,281610,06,0,81630
2020,Argentina,Mexico,281610,06,0,34252
2017,Argentina,Mexico,281700,06,0,757594
2018,Argentina,Mexico,281700,06,0,590263
2019,Argentina,Mexico,281700,06,0,366665
2020,Argentina,Mexico,281700,06,0,554403
2017,Argentina,Mexico,282090,06,0,20160
2018,Argentina,Mexico,282090,06,0,20385
2017,Argentina,Mexico,282110,06,0,20450
2018,Argentina,Mexico,282110,06,0,2562
2018,Argentina,Mexico,282300,06,0,43
2019,Argentina,Mexico,282300,06,0,106
2017,Argentina,Mexico,282490,06,0,1085
2017,Argentina,Mexico,282580,06,0,43
2017,Argentina,Mexico,282590,06,0,79646
2018,Argentina,Mexico,282590,06,0,50311
2019,Argentina,Mexico,282590,06,0,86033
2020,Argentina,Mexico,282590,06,0,76565
2018,Argentina,Mexico,282612,06,0,237765
2019,Argentina,Mexico,282612,06,0,344145
2020,Argentina,Mexico,282612,06,0,1405404
2018,Argentina,Mexico,282690,06,0,29146
2020,Argentina,Mexico,282690,06,0,18346
2017,Argentina,Mexico,282710,06,0,471
2018,Argentina,Mexico,282710,06,0,1094
2019,Argentina,Mexico,282710,06,0,136
2017,Argentina,Mexico,282720,06,0,81321
2018,Argentina,Mexico,282720,06,0,326899
2019,Argentina,Mexico,282720,06,0,248765
2020,Argentina,Mexico,282720,06,0,254131
2017,Argentina,Mexico,282731,06,0,37
2019,Argentina,Mexico,282731,06,0,31
2018,Argentina,Mexico,282739,06,0,1426
2019,Argentina,Mexico,282739,06,0,148
2020,Argentina,Mexico,282739,06,0,55
2017,Argentina,Mexico,282749,06,28473,13483
2018,Argentina,Mexico,282749,06,0,4185
2017,Argentina,Mexico,282760,06,0,560
2017,Argentina,Mexico,283010,06,0,15453
2018,Argentina,Mexico,283010,06,0,336655
2019,Argentina,Mexico,283010,06,0,269543
2020,Argentina,Mexico,283010,06,0,307017
2017,Argentina,Mexico,283210,06,0,82
2017,Argentina,Mexico,283311,06,0,347
2018,Argentina,Mexico,283311,06,0,250
2019,Argentina,Mexico,283311,06,0,478
2017,Argentina,Mexico,283321,06,873,0
2018,Argentina,Mexico,283321,06,0,184
2017,Argentina,Mexico,283325,06,0,107625
2018,Argentina,Mexico,283325,06,0,112000
2017,Argentina,Mexico,283329,06,4406595,135532
2018,Argentina,Mexico,283329,06,0,105970
2019,Argentina,Mexico,283329,06,0,82031
2020,Argentina,Mexico,283329,06,0,68927
2017,Argentina,Mexico,283330,06,0,184224
2018,Argentina,Mexico,283330,06,0,132122
2019,Argentina,Mexico,283330,06,0,353434
2020,Argentina,Mexico,283330,06,0,334694
2017,Argentina,Mexico,283429,06,0,793028
2018,Argentina,Mexico,283429,06,0,258
2019,Argentina,Mexico,283429,06,0,58871
2020,Argentina,Mexico,283429,06,0,116996
2017,Argentina,Mexico,283522,06,0,3650
2018,Argentina,Mexico,283522,06,0,3171
2019,Argentina,Mexico,283522,06,0,7150
2020,Argentina,Mexico,283522,06,0,2401
2017,Argentina,Mexico,283524,06,0,21880
2018,Argentina,Mexico,283524,06,0,39681
2019,Argentina,Mexico,283524,06,0,5638
2017,Argentina,Mexico,283526,06,0,75480
2018,Argentina,Mexico,283526,06,0,67404
2020,Argentina,Mexico,283526,06,0,1758
2017,Argentina,Mexico,283529,06,0,388
2018,Argentina,Mexico,283529,06,0,391
2019,Argentina,Mexico,283529,06,0,1057
2020,Argentina,Mexico,283529,06,0,18
2017,Argentina,Mexico,283531,06,0,13077
2018,Argentina,Mexico,283531,06,0,176548
2019,Argentina,Mexico,283531,06,0,128593
2020,Argentina,Mexico,283531,06,0,42864
2017,Argentina,Mexico,283630,06,0,126837
